"ID";"参照記号";"パッケージ";"数";"名称";"Supplier and ref";
1;"C3";"C-0603";1;"0.1u";;;
2;"R2";"R-0603";1;"1k";;;
3;"D1";"generic-LED1608";1;"LED";;;
4;"P1,P2";"pinhead-1X08";2;"CONN_01X08";;;
5;"R7,R8";"R-0603";2;"20k";;;
6;"SW1,SW2";"SKRPACE010";2;"SW_Push";;;
7;"U3";"bgm13p-smd";1;"BGX13P";;;
8;"P3";"GROVE";1;"CONN_01X04";;;
